system:index,apn_perc,area_m2,available_area_m2,cell_size_m,coast_len,elev_mean,fires_perc,grid_id,id,lat,lon,no_urbano_perc_2017,no_urbano_perc_2018,no_urbano_perc_2019,no_urbano_perc_2020,no_urbano_perc_2021,no_urbano_perc_2022,no_urbano_perc_2023,no_urbano_perc_2024,non_apn_perc,precip_mean,retama_perc_2017,retama_perc_2018,retama_perc_2019,retama_perc_2020,retama_perc_2021,retama_perc_2022,retama_perc_2023,retama_perc_2024,rivers_len,roads_len,temp_mean,urbano_perc_2017,urbano_perc_2018,urbano_perc_2019,urbano_perc_2020,urbano_perc_2021,urbano_perc_2022,urbano_perc_2023,urbano_perc_2024,.geo
00000000000000000014,97.14647425186499,139155.350341406,139391.64841799284,1000,0,1074.0,0.0,"275,5216","275,5216",-43.16912781091771,-71.75702381448356,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.8535257481349525,90.3125,1.0626504165468933,1.222222801048839,1.3543109841896122,0.8185757584562093,1.0203982523722983,1.2281688138704066,0.18418267134295604,0.0,0,284.8711921981181,7.356771087646484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.75595832204971,-43.175191103098804],[-71.75557087179965,-43.16658006571984],[-71.75942191301223,-43.166487181239695],[-71.75906731974777,-43.16762725439285],[-71.75868991913906,-43.16890436839134],[-71.75835215879668,-43.16941296176991],[-71.7568912417036,-43.17144736288181],[-71.75656877472703,-43.17273346416698],[-71.75595832204971,-43.175191103098804]]]}"
00000000000000000015,75.0755874920002,997580.466560471,995497.5706267408,1000,0,1074.0,0.0,"276,5216","276,5216",-43.17122437207494,-71.74962764918995,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.924412507999833,90.3125,5.917928208267139,8.040251903103677,11.010664841840132,10.271036988650586,9.630373864379635,8.71429404356687,6.625753429387471,3.2573764639252283,1619.5323613689047,3365.8626021972846,7.356771087646484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.75586247770723,-43.1755772101219],[-71.74368603366473,-43.17587006401965],[-71.74328309188125,-43.16687553955345],[-71.75557087179965,-43.16658006571984],[-71.75595832204971,-43.175191103098804],[-71.75586247770723,-43.1755772101219]]]}"
00000000000000000016,6.789508490701617,997787.104712731,999553.2153381341,1000,0,1210.6363636363635,0.0,"277,5216","277,5216",-43.17152008437341,-71.7373401096923,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.21049151464136,90.3125,0.7369682997156931,0.8009804994596288,1.2284119716017246,1.1196665072178547,0.9028023654110203,0.5368354592821962,0.47022136759895944,0.25141299564963115,407.94426745447123,1578.792698640835,7.356771087646484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.74368603366473,-43.17587006401965],[-71.73139617542982,-43.17616429379243],[-71.73099511918748,-43.16716976394207],[-71.74328309188125,-43.16687553955345],[-71.74368603366473,-43.17587006401965]]]}"
00000000000000000017,0.0,997797.935430691,967337.8621549422,1000,0,1241.0,0.0,"278,5216","278,5216",-43.1718136499228,-71.72505110297402,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.36408730158729,0.0,0.0,0.0934195009891476,0.01149678129649231,0.046873713695257335,0.0557401242479708,0.003960333982956041,0.041642537425233855,0,1392.3379435718548,7.539608292352586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.73139617542982,-43.17616429379243],[-71.71910621646266,-43.17645728841679],[-71.71870695544554,-43.16746259575739],[-71.73099511918748,-43.16716976394207],[-71.73139617542982,-43.17616429379243]]]}"
00000000000000000018,0.0,997808.717515348,999576.6396005959,1000,0,1241.0,0.0,"279,5216","279,5216",-43.172105919963826,-71.7127619550815,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.58333333333333,0.0,0.0,0.0802185163968523,0.03646322303437442,0.09480356304575152,0.043755652095894375,0.0,0.0,0,781.2948587151805,8.316666412353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.71910621646266,-43.17645728841679],[-71.70681606798318,-43.17674896143057],[-71.7064186023825,-43.16775417807484],[-71.71870695544554,-43.16746259575739],[-71.71910621646266,-43.17645728841679]]]}"
00000000000000000019,2.033488603593221,997819.450967669,999581.6649657917,1000,0,962.3333333333334,0.0,"280,5216","280,5216",-43.17239686875619,-71.70047261857557,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.96651139640674,90.58333333333333,1.2087904472141549,1.7299326331404834,3.8212939578212204,3.884263293027919,5.258483763550917,5.010508987433168,3.9600795785635636,3.656559129164399,44.55275981204636,2249.629993177241,8.316666412353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.70681606798318,-43.17674896143057],[-71.69452573171911,-43.177039241284334],[-71.69413006172539,-43.168044439321704],[-71.7064186023825,-43.16775417807484],[-71.70681606798318,-43.17674896143057]]]}"
0000000000000000001a,30.07661093709914,997830.135782035,944644.1143119362,1000,0,933.0,0.0,"281,5216","281,5216",-43.17268647945041,-71.6881830709059,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,69.92338906290097,90.58333333333333,2.1505989308387767,1.773446935051648,3.48758152889352,3.057074592721802,2.814848560920915,2.9944477268239638,1.7887623576899765,1.5321158905731471,2524.962058376144,1591.2452819512198,8.316666412353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.69452573171911,-43.177039241284334],[-71.6822352093981,-43.1773282710153],[-71.68184133520111,-43.16833330794027],[-71.69413006172539,-43.168044439321704],[-71.69452573171911,-43.177039241284334]]]}"
0000000000000000001b,61.956996487763796,997840.771958621,940446.0520097314,1000,0,933.0,0.0,"282,5216","282,5216",-43.17297476708676,-71.67589337066964,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,38.043003512236226,90.58333333333333,0.1747555812147829,0.015259595011097424,0.2562803058800105,0.18578836357203693,0.4460500775199656,0.3277136398574291,0.3367725365750094,0.15849204347891685,1094.5991406709616,345.70273874204645,8.316666412353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.6822352093981,-43.1773282710153],[-71.66994450274773,-43.177615907551385],[-71.66955242453645,-43.1686209269863],[-71.68184133520111,-43.16833330794027],[-71.6822352093981,-43.1773282710153]]]}"
0000000000000000001c,44.28795970304664,997851.359494448,895253.2198193711,1000,0,477.0,0.0,"283,5216","283,5216",-43.173261752384924,-71.66360346272225,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,55.71204029695345,90.58333333333333,0.333848519422117,0.5618438105927563,0.8956840065266427,0.7979723164337242,1.066679662540011,1.017827332413917,1.0992546056709307,0.6269802200814942,993.757912512695,0,8.316666412353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.66994450274773,-43.177615907551385],[-71.65765361349544,-43.177902293916695],[-71.65726333145815,-43.16890722489973],[-71.66955242453645,-43.1686209269863],[-71.66994450274773,-43.177615907551385]]]}"
0000000000000000001d,50.42056015113208,997861.898388746,981200.0092532581,1000,0,477.0,0.0,"284,5216","284,5216",-43.173547416353436,-71.65131337306879,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,49.579439848868006,94.11742424242425,2.3365421972271037,2.418260191852421,6.3930768784187,7.339415667891708,7.5107300130139265,5.806063778648716,4.9337086535167485,4.46562258710769,1049.9642123641936,0,8.981060444224966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.65765361349544,-43.177902293916695],[-71.64536254336859,-43.1781873585679],[-71.64497405769279,-43.16919213013542],[-71.65726333145815,-43.16890722489973],[-71.65765361349544,-43.177902293916695]]]}"
0000000000000000001e,20.710928467421468,997872.388636299,950044.7632052546,1000,0,474.5714285714286,0.0,"285,5216","285,5216",-43.17383175811278,-71.63902311976206,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,79.28907153257859,100.30208333333333,10.611764779817616,10.887970701543496,16.714737792435148,16.694438648464068,15.800214687951575,15.466125943150589,11.69999403947756,5.882655297353178,1188.477214542457,0,10.14375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.64536254336859,-43.1781873585679],[-71.63307129409446,-43.17847110148614],[-71.6326846049669,-43.16947578572951],[-71.64497405769279,-43.16919213013542],[-71.64536254336859,-43.1781873585679]]]}"
0000000000000000001f,66.86816192985773,997882.830240178,941218.6560637841,1000,0,426.0,0.0,"286,5216","286,5216",-43.17411479660202,-71.62673268015072,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.131838070142265,100.30208333333333,0.5963214044426529,0.5808325101401701,1.0919673304092574,1.0454996577752813,1.27783277077422,1.4714440354774598,1.6418217398685295,1.7037783303120069,1188.4115144027348,0,10.14375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.63307129409446,-43.17847110148614],[-71.6207798674002,-43.178753522653196],[-71.62039497500683,-43.16975812013454],[-71.6326846049669,-43.16947578572951],[-71.63307129409446,-43.17847110148614]]]}"
00000000000000000020,29.73059791808021,997893.22319431,944335.5500401228,1000,0,426.0,0.0,"287,5216","287,5216",-43.17439649536593,-71.61444207218356,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,70.26940208191967,98.89136904761905,0.13123204065923677,0.16982953096575007,0.293340433503549,0.29334024283645943,0.48632759903548106,0.6175590571906009,0.578960785633767,0.5558013470014364,1362.754942968651,0,10.26919653756278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.6207798674002,-43.178753522653196],[-71.60848826501285,-43.179034550549105],[-71.60810516953892,-43.170039133332914],[-71.62039497500683,-43.16975812013454],[-71.6207798674002,-43.178753522653196]]]}"
