WKT,id,area_m2,cell_size_m,grid_id
"POLYGON ((-71.8578747334042 -43.1370561081553,-71.8280484913323 -43.1377977849964,-71.8268048888919 -43.1108160515583,-71.8636314508364 -43.1098996305154,-71.8644812831916 -43.1281036494169,-71.8643112471303 -43.1281149479351,-71.8638353545941 -43.1281501524159,-71.8629438231736 -43.1285691119353,-71.8624062250648 -43.1289124422117,-71.861984795274 -43.1291398587677,-71.8614900804911 -43.1293894646332,-71.861014093202 -43.1294693381603,-71.8602147477848 -43.1295264407291,-71.8597633677929 -43.1295258698726,-71.8591656886577 -43.1294670674104,-71.8584277714023 -43.1293321096559,-71.8577569853803 -43.1292597717037,-71.8572446211514 -43.1292010082353,-71.8564885136994 -43.1290839091486,-71.8563119043975 -43.1289228642582,-71.8557884092345 -43.1284530112515,-71.8553564753069 -43.1279520606165,-71.8551554367327 -43.1278534972172,-71.8550944556097 -43.1278266196776,-71.8548202213627 -43.1277101413782,-71.8546922875214 -43.1276518991109,-71.8545157676874 -43.1274907913825,-71.8544305387008 -43.1274147446426,-71.8542905713023 -43.1272849730115,-71.8541624562921 -43.1272580063312,-71.8538332113338 -43.1271949985796,-71.853284468971 -43.1270870699237,-71.8529855329103 -43.1271045945062,-71.8527716450702 -43.1272785864994,-71.852624529238 -43.1275643627182,-71.8529091702632 -43.1284359563756,-71.8532675497766 -43.1290664339193,-71.8538569162585 -43.1300725054565,-71.8539711884468 -43.1307428470585,-71.8540422127075 -43.1316455044304,-71.8540481841733 -43.1317170387711,-71.8541444514242 -43.1322845611997,-71.8540634747443 -43.1329904238311,-71.8537264486737 -43.1336200239604,-71.8536282812806 -43.1338388439033,-71.8536823864467 -43.1341918687476,-71.8537670727749 -43.1344868591184,-71.8544250196255 -43.1348808885437,-71.8550338363807 -43.1354089162613,-71.8551921701632 -43.135538665321,-71.8563560567323 -43.1361478418563,-71.8575258199169 -43.1368462780219,-71.8578747334042 -43.1370561081553))","89,1740",8205089.12391211,"3000","89,1740"
"POLYGON ((-71.8280484913323 -43.1377977849964,-71.7912040621144 -43.1387032174572,-71.7899766099906 -43.1117206355151,-71.8268048888919 -43.1108160515583,-71.8280484913323 -43.1377977849964))","90,1740",8979584.23295892,"3000","90,1740"
"POLYGON ((-71.7912040621144 -43.1387032174572,-71.7543579353963 -43.1395968002371,-71.7531466363622 -43.1126133808712,-71.7899766099906 -43.1117206355151,-71.7912040621144 -43.1387032174572))","91,1740",8979883.2362557,"3000","91,1740"
"POLYGON ((-71.7543579353963 -43.1395968002371,-71.7175101334504 -43.1404785318387,-71.716314990243 -43.1134942861317,-71.7531466363622 -43.1126133808712,-71.7543579353963 -43.1395968002371))","92,1740",8980178.30091687,"3000","92,1740"
"POLYGON ((-71.7175101334504 -43.1404785318387,-71.6806606785554 -43.1413484107846,-71.6794816938756 -43.1143633498214,-71.716314990243 -43.1134942861317,-71.7175101334504 -43.1404785318387))","93,1740",8980469.42641967,"3000","93,1740"
"POLYGON ((-71.6806606785554 -43.1413484107846,-71.6438095929967 -43.142206435617,-71.6426467695088 -43.1152205704847,-71.6794816938756 -43.1143633498214,-71.6806606785554 -43.1413484107846))","94,1740",8980756.61225779,"3000","94,1740"
"POLYGON ((-71.6438095929967 -43.142206435617,-71.6069568990654 -43.1430526048978,-71.605810239398 -43.1160659466861,-71.6426467695088 -43.1152205704847,-71.6438095929967 -43.142206435617))","95,1740",8981039.85793996,"3000","95,1740"
"POLYGON ((-71.6069568990654 -43.1430526048978,-71.5701026190594 -43.1438869172087,-71.5689721258043 -43.1168994770093,-71.605810239398 -43.1160659466861,-71.6069568990654 -43.1430526048978))","96,1740",8981319.16295474,"3000","96,1740"
"POLYGON ((-71.5701026190594 -43.1438869172087,-71.5332467752822 -43.1447093711512,-71.5321324509953 -43.117721160058,-71.5689721258043 -43.1168994770093,-71.5701026190594 -43.1438869172087))","97,1740",8981594.52682132,"3000","97,1740"
"POLYGON ((-71.5332467752822 -43.1447093711512,-71.4963893900435 -43.1455199653466,-71.4952912372443 -43.1185309944558,-71.5321324509953 -43.117721160058,-71.5332467752822 -43.1447093711512))","98,1740",8981865.9490535,"3000","98,1740"
"POLYGON ((-71.4963893900435 -43.1455199653466,-71.4595304856589 -43.1463186984358,-71.4584485068305 -43.1193289788457,-71.4952912372443 -43.1185309944558,-71.4963893900435 -43.1455199653466))","99,1740",8982133.42918449,"3000","99,1740"
"POLYGON ((-71.4595304856589 -43.1463186984358,-71.4226700844498 -43.1471055690797,-71.4216042820391 -43.1201151118907,-71.4584485068305 -43.1193289788457,-71.4595304856589 -43.1463186984358))","100,1740",8982396.96674098,"3000","100,1740"
"POLYGON ((-71.4226700844498 -43.1471055690797,-71.3858082087435 -43.1478805759588,-71.3847585851609 -43.1208893922734,-71.4216042820391 -43.1201151118907,-71.4226700844498 -43.1471055690797))","101,1740",8982656.56126013,"3000","101,1740"
"POLYGON ((-71.3858082087435 -43.1478805759588,-71.3489448808727 -43.1486437177736,-71.3479114384923 -43.1216518186964,-71.3847585851609 -43.1208893922734,-71.3858082087435 -43.1478805759588))","102,1740",8982912.21229501,"3000","102,1740"
"POLYGON ((-71.3489448808727 -43.1486437177736,-71.3120801231758 -43.1493949932443,-71.3110628643354 -43.1224023898818,-71.3479114384923 -43.1216518186964,-71.3489448808727 -43.1486437177736))","103,1740",8983163.91939018,"3000","103,1740"
"POLYGON ((-71.3120801231758 -43.1493949932443,-71.2752139579967 -43.1501344011107,-71.2742128849977 -43.1231411045716,-71.3110628643354 -43.1224023898818,-71.3120801231758 -43.1493949932443))","104,1740",8983411.68211209,"3000","104,1740"
"POLYGON ((-71.2377715413185 -43.1238599394643,-71.2742128849977 -43.1231411045716,-71.2752139579967 -43.1501344011107,-71.2383464076848 -43.1508619401329,-71.2374123178044 -43.1252607474747,-71.2377715413185 -43.1238599394643))","105,1740",8981076.8725177,"3000","105,1740"
"POLYGON ((-71.2374123178044 -43.1252607474747,-71.2383464076848 -43.1508619401329,-71.2308063787371 -43.1510092652282,-71.2374123178044 -43.1252607474747))","106,1740",871247.384807434,"3000","106,1740"
"POLYGON ((-71.9366770727103 -43.0954408954543,-71.9360801087653 -43.0829561554103,-71.936103159782 -43.0829825278882,-71.9362371204601 -43.0830853703576,-71.9372360799471 -43.0838454886639,-71.9389284423247 -43.0860894543932,-71.9388974172726 -43.0867060565005,-71.9390493766815 -43.0871082249047,-71.9395062494275 -43.087501688889,-71.9396888717029 -43.087716210524,-71.940304124354 -43.0882437952428,-71.940669458298 -43.0887131488819,-71.9409125919122 -43.0894058029754,-71.9407229151471 -43.0901876771508,-71.9407771860504 -43.0907819660447,-71.940892511688 -43.091309233701,-71.9417576787158 -43.0919084144101,-71.9423795301426 -43.09184620586,-71.9431413981789 -43.0921146217902,-71.9432995965876 -43.0924185893634,-71.943006626457 -43.0927579581708,-71.9425737284316 -43.0928382091108,-71.9414823451141 -43.0928733769193,-71.9403054811286 -43.093082790758,-71.9394701591284 -43.0932163820306,-71.9387810054602 -43.0934081650058,-71.9381526341768 -43.0937518827347,-71.9378103625927 -43.0945872220547,-71.9375049952336 -43.0951768647682,-71.9367060275996 -43.0954221703004,-71.9366770727103 -43.0954408954543))","86,1741",344625.427215058,"3000","86,1741"
